"","X233_S233_L001_R1_001","X231_S231_L001_R1_001","X229_S229_L001_R1_001","X121_S121_L001_R1_001","X123_S123_L001_R1_001","X125_S125_L001_R1_001","X133_S133_L001_R1_001","X135_S135_L001_R1_001","X137_S137_L001_R1_001","X277_S277_L001_R1_001","X279_S279_L001_R1_001","X281_S281_L001_R1_001","X283_S283_L001_R1_001","X285_S285_L001_R1_001","X287_S287_L001_R1_001","X006_S6_L001_R1_001","X004_S4_L001_R1_001","X002_S2_L001_R1_001","X012_S12_L001_R1_001","X010_S10_L001_R1_001","X008_S8_L001_R1_001","X024_S24_L001_R1_001","X022_S22_L001_R1_001","X020_S20_L001_R1_001","X098_S98_L001_R1_001","X100_S100_L001_R1_001","X102_S102_L001_R1_001","X110_S110_L001_R1_001","X112_S112_L001_R1_001","X248_S248_L001_R1_001","X250_S250_L001_R1_001","X252_S252_L001_R1_001","X260_S260_L001_R1_001","X262_S262_L001_R1_001","X264_S264_L001_R1_001"
"SGPP1_24607",17.4412343721617,11.8155101831586,16.4922361503564,15.0648880181859,35.0279541303073,20.4448278138554,9.80791493059633,27.1302836955962,24.4156488556015,7.23557382906758,15.0537626393688,19.9366725360944,21.1381416637818,18.1252704596734,19.9666811453642,20.7635451181191,21.816785139731,11.7130038495771,27.869050234884,27.2729167823388,28.4593704252715,22.3321233151929,19.2632679206861,17.0597870402002,15.4642636704116,18.081177905909,22.6598129132807,27.1387412582877,25.1936307570733,11.4079176722355,14.074692010067,10.654204621133,16.9099635902178,34.783362952779,20.6135924509923
"SH2D1A_20738",0,0,0,1.15883753986045,0,0,0,0,0,0,0.885515449374633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735215808270341,2.17396018454868,0
"SH3BP5_6291",0.670816706621603,0.738469386447415,0,1.15883753986045,0,0,0,0,0,0,0,0,0,1.06619237998079,0,0,1.14825184945953,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521284889261739,0.560747611638578,0.735215808270341,2.17396018454868,0
"SH3GLB1_16515",167.704176655401,181.663469066064,173.473891359304,140.219342323115,98.9024587208677,190.818392929317,246.015199509125,234.306995552876,239.069895044432,200.18420927087,218.722315995534,184.414220958873,165.853111515827,139.671201777484,137.044038770454,236.308918249069,218.16785139731,172.348485215205,380.102879592446,317.410329360411,267.518081997552,198.958916808082,212.636842047574,170.597870402002,142.271225767787,166.346836734363,209.225605899292,282.935813118319,279.587853523618,154.006888575179,190.790269469797,193.457926015309,157.336182969853,123.915730519275,127.804273196152
"SHB_27848",467.559244515257,564.929080632273,561.34685267324,330.268698860229,436.819192683832,361.191958044779,381.691356049041,390.922724159272,396.754293903525,416.045495171386,430.360508396071,399.564145410891,468.291138397628,446.734607211951,356.67753136946,446.91059016142,389.25737696678,398.24213088562,507.836026502331,461.318485999135,449.025622265395,497.397292020206,460.095745336388,409.434888964805,335.574521647931,347.158615793452,383.706165331553,338.368135688438,290.648471904772,462.020665725538,371.67612604362,379.626133079317,331.582329529924,282.614823991329,239.11767243151
"SHC1_6301",38.2365522774313,50.9543876648717,66.5797681625497,41.7181514349762,26.786082570235,27.2597704184739,49.0395746529816,51.79417796432,60.0218034366871,39.7956560598717,55.7874733106019,37.381261005177,24.3901634582098,23.4562323595774,29.0424453023479,33.6171682864785,27.5580443870286,23.4260076991541,130.055567762792,107.350842653887,61.9781844817024,52.7850187450014,45.9354850416361,29.8546273203504,18.5571164044939,28.0258257541589,44.5642987294521,57.7420026772079,55.9175707047236,35.6497427257359,43.7879306979861,59.4392468336893,31.6142797556247,28.2614823991329,37.1044664117861
"SHCBP1_6304",166.362543242157,145.478469130141,144.154360425337,91.5481656489756,105.083862390922,88.5942538600401,102.165780527045,104.821550642076,68.160353055221,91.650601834856,93.8646376337111,108.821004259515,105.690708318909,116.214969417906,110.724322715201,76.1329987664366,84.970636860005,63.5848780405612,102.186517527908,105.610018178418,133.442825771829,60.905790859617,115.579607524117,100.937073321185,111.342698426963,95.8302429013176,108.767101983747,50.2355423291708,85.4125530544679,108.375217886237,108.948541855704,111.028027104438,103.665428966118,84.7844471973987,90.699806784366
"SIRPG_26479",0,0.738469386447415,0,1.15883753986045,0,0,0,0,0,0,0.885515449374633,0,0.813005448606993,0,0,0,0,0,0,0,0,0,0.740894920026389,0,0,0,0,0,0,0,0.521284889261739,1.12149522327716,0,0,0
"SIRT3_6320",6.03735035959442,8.12316325092157,4.88658848899447,20.8590757174881,8.24187156007231,10.2224139069277,4.0866312210818,12.3319471343619,7.12123091621712,9.6474317720901,4.42757724687316,6.64555751203146,4.87803269164196,11.7281161797887,4.53788207849186,7.90992194975965,3.44475554837858,16.732862642253,3.87070142151167,4.64219860124915,5.05944363115938,10.1509651432695,10.3725288803694,7.10824460008342,6.18570546816463,9.04058895295449,9.06392516531229,8.0838803748091,2.45791519581203,10.6949228177208,11.4682675637583,11.2149522327716,6.61694227443307,30.4354425836816,4.12271849019845
"SKA1_26466",6.70816706621603,2.95387754578966,7.94070629461602,4.6353501594418,2.06046789001808,10.2224139069277,1.63465248843272,1.23319471343619,4.06927480926692,3.61778691453379,0.885515449374633,0,1.62601089721399,7.46334665986554,2.72272924709512,0,0,5.01985879267589,2.322420852907,2.32109930062458,2.52972181557969,1.01509651432695,2.96357968010556,4.26494676005006,3.09285273408232,2.71217668588635,0.755327097109357,2.88710013386039,2.45791519581203,0.712994854514719,1.04256977852348,2.24299044655431,2.20564742481102,4.34792036909737,0
"SKIV2L_6323",2.68326682648641,2.95387754578966,5.49741205011878,0,2.06046789001808,0,1.63465248843272,8.63236299405333,6.10391221390039,2.41185794302253,1.77103089874927,3.32277875601573,0,0,0,0.988740243719956,0,5.01985879267589,6.19312227441867,5.2224734264053,3.16215226947461,0,0.740894920026389,1.42164892001668,1.54642636704116,0,0,4.61936021417663,2.45791519581203,2.13898456354416,3.64899422483217,3.92523328147005,2.20564742481102,4.34792036909737,0
"SKP1_6326",2879.14530481992,3182.80305558836,2271.04200026018,3591.23753602754,4221.89870664704,2981.53738952058,1620.75794228104,2451.59109031115,2101.78043898637,2614.45401023642,3021.37871326625,3259.64595965143,3741.45107448938,4257.3061732633,3760.99666665406,2027.90623986963,2359.65755063933,2781.00177114244,1787.48991645409,1375.25133562006,1810.64838950116,2469.72981935747,2319.74199460262,2965.5596471548,3589.25559790253,3043.06224156448,2503.15399982041,1700.50197884377,2033.92482453445,2543.96564090852,2278.53625096306,2321.49511218371,2993.79877127683,2895.71496581885,2923.0074095507
"SLA_14953",2.68326682648641,0,0,1.15883753986045,0,3.40747130230924,0,1.23319471343619,2.03463740463346,0,1.77103089874927,1.66138937800786,0.813005448606993,0,0.907576415698373,0,0,0,0,0,0.632430453894923,1.01509651432695,0,0,1.54642636704116,0,0,0.577420026772079,2.45791519581203,2.13898456354416,1.56385466778522,1.12149522327716,0,2.17396018454868,0
"SLBP_20689",56.3486033562146,36.9234693223708,44.5901199620746,18.5414006377672,26.786082570235,34.0747130230924,29.423744791789,32.0630625493409,19.3290553440179,38.5897270883604,27.4509789306136,15.7831990910747,25.2031689068168,23.4562323595774,33.5803273808398,41.5270902362381,25.2615406881096,28.44586649183,43.3518559209307,42.9403370615547,46.7998535882243,17.2566407435582,20.0041628407125,24.1680316402836,32.4749537078643,18.9852368012044,36.2557006612491,22.5193810441111,35.0252915403214,29.2327890351035,37.0112271375835,24.6728949120974,27.2029849060026,17.3916814763895,8.24543698039691
"SLC10A1_19648",0,0.738469386447415,0,0,0,0,0.817326244216361,0,0,0,0,0,0,0,0,0,0,0,0.774140284302334,0,0,0,0,0,0,0,0,0.577420026772079,0.614478798953007,0.712994854514719,0,0,0,0,0
"SLC10A2_28350",0,0,0,1.15883753986045,0,0,0,0,1.01731870231673,0,0,0.830694689003932,0,0,0,0,0,0,0.774140284302334,0,0,0,0,0,0,0,0,1.15484005354416,0,0,0.521284889261739,0.560747611638578,0,0,0
"SLC11A2_6335",94.585155633646,76.8008161905312,44.5901199620746,105.454216127301,103.023394500904,71.556897348494,52.3088796298471,36.9958414030857,60.0218034366871,47.0312298889393,53.130926962478,44.8575132062123,75.6095067204504,79.9644284985593,68.068231177378,48.4482719422778,99.8979109029788,73.624595625913,47.2225573424424,41.7797874112424,54.3890190349634,74.1020455458674,65.9396478823486,62.5525524807341,106.70341932584,58.7638281942042,71.7560742253889,46.7710221685384,55.9175707047236,48.4836501070009,33.3622329127513,50.467285047472,63.2285595112493,67.3927657210092,78.3316513137706
"SLC15A3_16357",0.670816706621603,0,0.610823561124309,0,0,13.6298852092369,0,4.93277885374476,1.01731870231673,0,0,0,0,0,1.81515283139675,0,0,0,0.774140284302334,0,0.632430453894923,0,0.740894920026389,0,3.09285273408232,0,0,0.577420026772079,0.614478798953007,0,0,0.560747611638578,0,0,0
"SLC16A7_6342",15.4287842522969,19.2002040476328,10.3840005391133,2.3176750797209,6.18140367005423,3.40747130230924,15.5291986401109,14.7983365612343,12.2078244278008,7.23557382906758,15.9392780887434,9.13764157904326,9.75606538328392,7.46334665986554,9.07576415698373,14.8311036557993,10.3342666451357,6.69314505690118,18.579366823256,13.3463209785913,12.6486090778985,7.10567560028865,5.92715936021111,17.0597870402002,9.27855820224695,2.71217668588635,9.06392516531229,13.8580806425299,14.7474911748722,6.41695369063247,7.29798844966435,10.654204621133,7.35215808270341,4.34792036909737,0
"SLC17A6_19889",0,0.738469386447415,0,0,0,0,0,0,0,0,0.885515449374633,0,1.62601089721399,0,1.81515283139675,0.988740243719956,2.29650369891905,0,0,0,0,1.01509651432695,0,1.42164892001668,0,0,0,1.15484005354416,0,0.712994854514719,0,0,0.735215808270341,2.17396018454868,0
"SLC18A2_12450",2.68326682648641,1.47693877289483,0.610823561124309,0,0,0,0,0,0,0,0.885515449374633,0,0,0,0,0,2.29650369891905,0,0.774140284302334,0.580274825156144,0.632430453894923,3.04528954298085,0,0,0,1.8081177905909,0,0.577420026772079,0,0.712994854514719,0,0,0,0,0
"SLC1A2_24387",4.69571694635122,12.5539795696061,15.2705890281077,9.27070031888361,10.3023394500904,13.6298852092369,11.4425674190291,8.63236299405333,10.1731870231673,7.23557382906758,12.3972162912449,12.460420335059,5.69103814024895,6.39715427988475,6.35303490988861,3.95496097487982,5.74125924729763,11.7130038495771,17.8052265389537,8.70412237734216,9.48645680842384,24.3623163438468,8.89073904031667,8.52989352010011,10.8249845692881,5.42435337177269,6.79794387398421,8.66130040158118,7.37374558743608,2.85197941805887,7.29798844966435,8.41121417457867,2.94086323308136,4.34792036909737,4.12271849019845
