"","id","hillup_pod","gnlsup_pod","hilldown_pod","gnlsdown_pod","aic_ucnst","aic_uhill","aic_ugnls","aic_dcnst","aic_dhill","aic_dgnls","res.var_ucnst","res.var_uhill","res.var_ugnls","res.var_dcnst","res.var_dhill","res.var_dgnls","LL4_POD","LL4_AIC","LL4_RSS","LL4_PODSE"
"17","Dofetilide/ATAD5_21054",-1.44056936289398,-1.44056548185902,NA,NA,55.8378869441971,44.5887022091069,48.5887023212458,55.8378869441971,NA,NA,0.465649853060441,0.244417865332843,0.244418185842505,0.465649853060441,NA,NA,-1.46105805096717,45.6785487025295,6.004272774011,0.284369309012217
"18","Dofetilide/ATF4_500",NA,NA,-1.80805778450828,-1.80805884519679,22.1464402749259,NA,NA,22.1464402749259,16.5714397363352,20.5714397682235,0.115237089984319,NA,NA,0.115237089984319,0.0781998967232132,0.0781998883115284,-1.77574856482483,17.5240385971522,2.033189152728,0.096433457309985
"19","Dofetilide/ATF5_501",NA,NA,-1.74795831295717,-1.74800419599566,25.4037579314191,31.4037579318535,35.4037579304881,25.4037579314191,20.673469633546,24.6734697905054,0.131700539588955,0.131700539590572,0.131700539590206,0.131700539588955,0.0889005632703905,0.0889006453760914,-1.83504955070408,20.8081116058119,2.30692639090418,0.141107019127925
"20","Dofetilide/ATP1A2_14227",NA,NA,-1.07095658382394,-1.07143022975481,7.40173269321993,13.4017326931413,17.4016998803626,7.40173269321993,-12.0530460383402,-8.05304589233845,0.086156121052134,0.0861561210522695,0.0861577341622165,0.086156121052134,0.0298330571784746,0.029833057086832,-1.31932766709831,-7.5638943003671,0.774672496150254,0.10778304499339
"21","Dofetilide/AURKB_587",-1.81217826679528,-1.75525760368675,NA,NA,40.4294771326642,34.5805918660969,35.5798735990406,40.4294771326642,NA,NA,0.263957972420013,0.173145727230802,0.162737015751489,0.263957972420013,NA,NA,-1.90215680197754,37.8097642258479,4.43632259100737,NA
"22","Dofetilide/BAMBI_634",-1.68273027361837,-1.57793173390199,NA,NA,25.3670646954569,20.244892922824,23.5109595220256,25.3670646954569,NA,NA,0.137034288963723,0.0966173795651189,0.0951559911290697,0.137034288963723,NA,NA,-1.8326505618805,22.7026688062455,2.48130258076153,0.162437054185898
"23","Dofetilide/BCAT1_25914",NA,NA,-1.004879582625,-1.0190339184168,52.3258524931821,NA,NA,52.3258524931821,48.1600287163167,47.2913654834401,0.448597269405951,NA,NA,0.448597269405951,0.270532470827054,0.239497340342459,-0.992848259208275,49.5882704360199,6.97857860379867,0.0467180720147768
"24","Dofetilide/BMF_16921",-1.49314340879711,-1.18442307703396,NA,NA,20.7323188994645,18.377627967438,23.6504142396876,20.7323188994645,26.7323188955563,30.7211338529013,0.112885813943309,0.0881616883580362,0.0910892971712098,0.112885813943309,0.112885813947844,0.112543722799687,-1.8634839148593,20.3951816466692,2.27057737717554,NA
"25","Dofetilide/BRIP1_16491",-0.862639354788697,-0.862643722887597,NA,NA,46.9061266069276,37.7792169389922,41.7792169766445,46.9061266069276,52.9061266073696,56.9038923688754,0.342523653137636,0.204214583853559,0.204214543543318,0.342523653137636,0.342523653143099,0.342259944595009,-1.16791689518095,42.1828353555947,5.24891207564306,NA
"26","Dofetilide/BZW2_805",NA,NA,-1.79866635436509,-1.80186883276505,56.2244753189793,62.224475319299,66.2244753769606,56.2244753189793,42.2208313106963,45.9812373054346,0.474429625427261,0.47442962543864,0.474429626687783,0.474429625427261,0.216666303519821,0.21572691061698,-1.88579673669782,43.7282479302824,5.57036051701549,0.0646742549295724
